2026-01-02 05:11:47 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 05:11:47 | INFO | news_crawler | crawl_news_once total=100 unique=97
2026-01-02 05:11:50 | INFO | news_crawler | sync_news_dir done: new_files=8 dup_skipped=89
2026-01-02 05:30:40 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 05:30:40 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 05:30:41 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 05:30:41 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 05:30:42 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 05:30:42 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 05:30:43 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 05:30:43 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 05:30:44 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 05:30:45 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 05:30:45 | INFO | news_crawler | crawl_news_once total=100 unique=97
2026-01-02 05:30:46 | INFO | news_crawler | sync_news_dir done: new_files=4 dup_skipped=93
2026-01-02 05:42:55 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 05:42:55 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 05:42:56 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 05:42:56 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 05:42:57 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 05:42:57 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 05:42:58 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 05:42:58 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 05:42:59 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 05:42:59 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 05:42:59 | INFO | news_crawler | crawl_news_once total=100 unique=98
2026-01-02 05:43:00 | INFO | news_crawler | sync_news_dir done: new_files=5 dup_skipped=93
2026-01-02 05:57:32 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 05:57:32 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 05:57:33 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 05:57:33 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 05:57:34 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 05:57:34 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 05:57:35 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 05:57:35 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 05:57:36 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 05:57:36 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 05:57:36 | INFO | news_crawler | crawl_news_once total=100 unique=100
2026-01-02 05:57:37 | INFO | news_crawler | sync_news_dir done: new_files=3 dup_skipped=97
2026-01-02 06:09:53 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
